County,lbs,Rank,Year
Napa,1393623,24,2011
Nevada,30363,50,2011
Orange,959407,28,2011
Placer,267146,40,2011
Plumas,2939,56,2011
Riverside,2117956,20,2011
Sacramento,3562310,13,2011
San Benito,533185,34,2011
San Bernardino,509146,35,2011
San Diego,1358088,25,2011
San Francisco,40667,49,2011
San Joaquin,10862797,5,2011
San Luis Obispo,3244942,15,2011
San Mateo,284574,39,2011
Santa Barbara,5187768,12,2011
Santa Clara,892257,29,2011
Santa Cruz,1682416,22,2011
Shasta,232544,41,2011
Sierra,718,57,2011
Siskiyou,1251340,26,2011
Solano,548617,33,2011
Sonoma,2661814,17,2011
Stanislaus,6391740,10,2011
Sutter,3134668,16,2011
Tehama,879269,30,2011
Trinity,25158,52,2011
Tulare,15273797,3,2011
Tuolumne,71101,47,2011
Ventura,7528413,7,2011
Yolo,3266316,14,2011
Yuba,1203499,27,2011
Alameda,290790,36,2010
Alpine,633,58,2010
Amador,66813,44,2010
Butte,1945444,22,2010
Calaveras,38078,47,2010
Colusa,2050670,21,2010
Contra Costa,460029,33,2010
Del Norte,288120,37,2010
El Dorado,136723,42,2010
Fresno,30283617,1,2010
Glenn,2117453,19,2010
Humboldt,31021,49,2010
Imperial,4901524,11,2010
Inyo,1285,57,2010
Kern,25782086,2,2010
Kings,6743291,9,2010
Lake,419249,34,2010
Lassen,211211,41,2010
Los Angeles,2112663,20,2010
Madera,9129884,5,2010
Marin,64475,46,2010
Mariposa,5875,54,2010
Mendocino,1145626,27,2010
Merced,7736269,7,2010
Modoc,78327,43,2010
Mono,5544,55,2010
Monterey,8727282,6,2010
Napa,1326805,24,2010
Nevada,10252,53,2010
Orange,1305617,25,2010
Placer,232967,40,2010
Plumas,12785,52,2010
Riverside,2339739,18,2010
Sacramento,3622828,13,2010
San Benito,699886,32,2010
San Bernardino,397317,35,2010
San Diego,1370559,23,2010
San Francisco,18476,50,2010
San Joaquin,9421118,4,2010
San Luis Obispo,3033455,14,2010
San Mateo,271727,38,2010
Santa Barbara,4378453,12,2010
Santa Clara,1131360,28,2010
Santa Cruz,1028209,30,2010
Shasta,249060,39,2010
Sierra,1413,56,2010
Siskiyou,66702,45,2010
Solano,1069343,29,2010
Sonoma,2648451,17,2010
Stanislaus,5961801,10,2010
Sutter,2797033,16,2010
Tehama,794216,31,2010
Trinity,13298,51,2010
Tulare,13148843,3,2010
Tuolumne,31910,48,2010
Ventura,6991486,8,2010
Yolo,2830795,15,2010
Yuba,1233935,26,2010
Alameda,214588,42,2009
Alpine,362,58,2009
Amador,66657,45,2009
Butte,2462411,15,2009
Calaveras,27195,48,2009
Colusa,2412124,16,2009
Contra Costa,414036,35,2009
Del Norte,231234,41,2009
El Dorado,108061,43,2009
Fresno,27769122,1,2009
Glenn,2123913,21,2009
Humboldt,28567,47,2009
Imperial,3924514,11,2009
Inyo,5292,56,2009
Kern,21997483,2,2009
Kings,6760478,7,2009
Lake,367113,36,2009
Lassen,86872,44,2009
Los Angeles,2239089,18,2009
Madera,7698784,6,2009
Marin,63136,46,2009
Mariposa,9791,52,2009
Mendocino,659766,33,2009
Merced,5977272,8,2009
Modoc,452166,34,2009
Mono,8433,53,2009
Monterey,7788548,5,2009
Napa,1542908,24,2009
Nevada,16364,51,2009
